descripcion,monto,categoria,es_gasto_hormiga,fuente
Gallina o pollo vivo,8174,Salidas,True,DANE_ENIG_2006_2007
Carne de gallina o de pollo (entero o en presas),28701,Salidas,False,DANE_ENIG_2006_2007
"Carne de pavo, pichón, zuro, palomo, pato, ganso, codorniz",4205,Salidas,True,DANE_ENIG_2006_2007
Menudencias de gallina o pollo,2701,Salidas,True,DANE_ENIG_2006_2007
"Carne de conejo, liebre, curí o cuy",4725,Salidas,True,DANE_ENIG_2006_2007
"Carne de cordero, chivo, cabro",4188,Salidas,True,DANE_ENIG_2006_2007
Carne de chigüiro,3005,Salidas,True,DANE_ENIG_2006_2007
Carne de caballo,5411,Salidas,True,DANE_ENIG_2006_2007
"Carne preparada de pavo, pollo,cerdo, lomo ahumado",5621,Salidas,True,DANE_ENIG_2006_2007
Mortadela,3356,Salidas,True,DANE_ENIG_2006_2007
Salchichas,8566,Salidas,True,DANE_ENIG_2006_2007
Jamón y jamoneta,5208,Salidas,True,DANE_ENIG_2006_2007
Chorizo,3988,Salidas,True,DANE_ENIG_2006_2007
Tocineta,2294,Salidas,True,DANE_ENIG_2006_2007
Hamburguesa,3288,Salidas,True,DANE_ENIG_2006_2007
"Otros embutidos (longaniza, butifarra, génovas, salchichón, salami, cábanos, patés, etc.)",3833,Salidas,True,DANE_ENIG_2006_2007
Carnes frías enlatadas,3046,Salidas,True,DANE_ENIG_2006_2007
"Otros alimentos no especificados: Hormigas culonas, etc.",7554,Salidas,True,DANE_ENIG_2006_2007
Pescado de río fresco o congelado,17115,Salidas,False,DANE_ENIG_2006_2007
Pescado de mar fresco o congelado,11502,Salidas,False,DANE_ENIG_2006_2007
Camarones frescos o congelados,3241,Salidas,True,DANE_ENIG_2006_2007
"Pescado y crustáceos enlatados (sardinas, atún, salmón, mejillones, etc)",7289,Salidas,True,DANE_ENIG_2006_2007
"Otros mariscos, crustáceos y moluscos frescos o congelados",6640,Salidas,True,DANE_ENIG_2006_2007
Otros productos de pescado y derivados,1336,Salidas,True,DANE_ENIG_2006_2007
Leche natural,12245,Salidas,False,DANE_ENIG_2006_2007
"Leche pasteurizada (entera, descremada, semidescremada, deslactosada, maternizada y enriquecida)",18458,Salidas,False,DANE_ENIG_2006_2007
"Leche larga vida (entera, descremada, semidescremada, deslactosada, maternizada y enriquecida)",20415,Salidas,False,DANE_ENIG_2006_2007
Leche en polvo para lactantes,14028,Salidas,False,DANE_ENIG_2006_2007
"Leche en polvo (entera, descremada, semidescremada, maternizada)",13264,Salidas,False,DANE_ENIG_2006_2007
Queso campesino,13230,Salidas,False,DANE_ENIG_2006_2007
Queso doble crema,7752,Salidas,True,DANE_ENIG_2006_2007
"Otros quesos: pera, mozarella, paipa, parmesano, etc.",2009,Salidas,True,DANE_ENIG_2006_2007
"Cuajada, Quesillo",4150,Salidas,True,DANE_ENIG_2006_2007
"Leche condensada, leche condesada y evaporada",1302,Salidas,True,DANE_ENIG_2006_2007
Crema de leche,1746,Salidas,True,DANE_ENIG_2006_2007
Yoghurt,11004,Salidas,False,DANE_ENIG_2006_2007
Kumis,2578,Salidas,True,DANE_ENIG_2006_2007
Suero costeño,4699,Salidas,True,DANE_ENIG_2006_2007
Natas,1153,Salidas,True,DANE_ENIG_2006_2007
Postres lácteos,2609,Salidas,True,DANE_ENIG_2006_2007
Bebidas lácteas saborizadas no achocolatadas,2091,Salidas,True,DANE_ENIG_2006_2007
Productos lácteos que no contengan leche animal: leche de soya,701,Salidas,True,DANE_ENIG_2006_2007
Huevos de gallina y otras aves,13187,Salidas,False,DANE_ENIG_2006_2007
Huevos de iguana y de tortuga,427,Salidas,True,DANE_ENIG_2006_2007
"Aceite de girasol, maíz, soya y palma",14620,Salidas,False,DANE_ENIG_2006_2007
Aceite de oliva,2627,Salidas,True,DANE_ENIG_2006_2007
"Otros aceites comestibles: canola, cacahuete, coco, almendras, dietéticos, etc.",1540,Salidas,True,DANE_ENIG_2006_2007
Mantequilla de vaca,1871,Salidas,True,DANE_ENIG_2006_2007
Margarinas,1614,Salidas,True,DANE_ENIG_2006_2007
Manteca vegetal,2176,Salidas,True,DANE_ENIG_2006_2007
Manteca de cerdo,385,Salidas,True,DANE_ENIG_2006_2007
"Otras grasas y aceites (aceite de pescado y otros animales marinos, mantequilla de maní)",287,Salidas,True,DANE_ENIG_2006_2007
Naranjas,5049,Salidas,True,DANE_ENIG_2006_2007
Limones,2039,Salidas,True,DANE_ENIG_2006_2007
Mandarinas,2501,Salidas,True,DANE_ENIG_2006_2007
Toronjas,263,Salidas,True,DANE_ENIG_2006_2007
Limas,415,Salidas,True,DANE_ENIG_2006_2007
Cidras,285,Salidas,True,DANE_ENIG_2006_2007
Bananos,3582,Salidas,True,DANE_ENIG_2006_2007
Manzanas,4245,Salidas,True,DANE_ENIG_2006_2007
Peras,1988,Salidas,True,DANE_ENIG_2006_2007
Melones,1842,Salidas,True,DANE_ENIG_2006_2007
Mango,3588,Salidas,True,DANE_ENIG_2006_2007
Guayabas,3195,Salidas,True,DANE_ENIG_2006_2007
Guanábanas,1825,Salidas,True,DANE_ENIG_2006_2007
Zapotes,825,Salidas,True,DANE_ENIG_2006_2007
Tamarindo,935,Salidas,True,DANE_ENIG_2006_2007
Tomate de árbol,3714,Salidas,True,DANE_ENIG_2006_2007
Moras,4150,Salidas,True,DANE_ENIG_2006_2007
Curubas,1593,Salidas,True,DANE_ENIG_2006_2007
Maracuyá,3271,Salidas,True,DANE_ENIG_2006_2007
Lulos,4090,Salidas,True,DANE_ENIG_2006_2007
Patilla o sandía,1356,Salidas,True,DANE_ENIG_2006_2007
Granadillas,1259,Salidas,True,DANE_ENIG_2006_2007
Piña,2507,Salidas,True,DANE_ENIG_2006_2007
Papaya,4291,Salidas,True,DANE_ENIG_2006_2007
Papayuela,463,Salidas,True,DANE_ENIG_2006_2007
Uvas (verdes y rojas),2278,Salidas,True,DANE_ENIG_2006_2007
Fresas,2348,Salidas,True,DANE_ENIG_2006_2007
Cocos,1299,Salidas,True,DANE_ENIG_2006_2007
Albaricoques,1263,Salidas,True,DANE_ENIG_2006_2007
Brevas,944,Salidas,True,DANE_ENIG_2006_2007
Duraznos,2298,Salidas,True,DANE_ENIG_2006_2007
Chontaduros,1859,Salidas,True,DANE_ENIG_2006_2007
Ciruelas,1137,Salidas,True,DANE_ENIG_2006_2007
Aguacate,4250,Salidas,True,DANE_ENIG_2006_2007
Mangostino,749,Salidas,True,DANE_ENIG_2006_2007
Kiwi,493,Salidas,True,DANE_ENIG_2006_2007
Feijoa,783,Salidas,True,DANE_ENIG_2006_2007
Higo,701,Salidas,True,DANE_ENIG_2006_2007
Chirimoya,653,Salidas,True,DANE_ENIG_2006_2007
Otras frutas frescas,7733,Salidas,True,DANE_ENIG_2006_2007
Frutas congeladas o en pulpa,6079,Salidas,True,DANE_ENIG_2006_2007
"Almendras y otras nueces (maní, cacahuete, pistacho, etc)",834,Salidas,True,DANE_ENIG_2006_2007
"Frutas deshidratadas y cristalizadas: peras, uvas y ciruelas pasas",2359,Salidas,True,DANE_ENIG_2006_2007
Tomate,5760,Salidas,True,DANE_ENIG_2006_2007
Cebolla cabezona,4453,Salidas,True,DANE_ENIG_2006_2007
"Cebolla larga o en rama (bermuda, junca)",3772,Salidas,True,DANE_ENIG_2006_2007
Cebollin,1187,Salidas,True,DANE_ENIG_2006_2007
Zanahoria,3333,Salidas,True,DANE_ENIG_2006_2007
Remolacha,869,Salidas,True,DANE_ENIG_2006_2007
Pepino cohombro,1165,Salidas,True,DANE_ENIG_2006_2007
Pimentón,956,Salidas,True,DANE_ENIG_2006_2007
Pepino para guisar o rellenar,543,Salidas,True,DANE_ENIG_2006_2007
Nabos,564,Salidas,True,DANE_ENIG_2006_2007
Rábanos,480,Salidas,True,DANE_ENIG_2006_2007
Ajos,1307,Salidas,True,DANE_ENIG_2006_2007
Ají,1052,Salidas,True,DANE_ENIG_2006_2007
Lechuga,1736,Salidas,True,DANE_ENIG_2006_2007
Espinaca,1061,Salidas,True,DANE_ENIG_2006_2007
Acelga,971,Salidas,True,DANE_ENIG_2006_2007
"Repollo, repollitas",1359,Salidas,True,DANE_ENIG_2006_2007
Coliflor,1235,Salidas,True,DANE_ENIG_2006_2007
Brócoli,885,Salidas,True,DANE_ENIG_2006_2007
Coles (tallos),239,Salidas,True,DANE_ENIG_2006_2007
Apio en rama,723,Salidas,True,DANE_ENIG_2006_2007
Alcachofas,1015,Salidas,True,DANE_ENIG_2006_2007
Espárragos,313,Salidas,True,DANE_ENIG_2006_2007
Ahuyama,1456,Salidas,True,DANE_ENIG_2006_2007
Calabaza,766,Salidas,True,DANE_ENIG_2006_2007
Calabacín,938,Salidas,True,DANE_ENIG_2006_2007
Fríjol verde en vaina,1695,Salidas,True,DANE_ENIG_2006_2007
Fríjol verde desgranado,1819,Salidas,True,DANE_ENIG_2006_2007
Arveja verde en vaina,3509,Salidas,True,DANE_ENIG_2006_2007
Arveja verde desgranada,4047,Salidas,True,DANE_ENIG_2006_2007
Habas verdes en vaina,611,Salidas,True,DANE_ENIG_2006_2007
Habas verdes desgranadas,521,Salidas,True,DANE_ENIG_2006_2007
Habichuelas,2986,Salidas,True,DANE_ENIG_2006_2007
Mazorcas y maíz dulce,2064,Salidas,True,DANE_ENIG_2006_2007
Berenjenas,1108,Salidas,True,DANE_ENIG_2006_2007
Champiñones y otros hongos comestibles,1907,Salidas,True,DANE_ENIG_2006_2007
"Otras verduras y leguminosas frescas: berros, chachafruto, algas comestibles, etc.",3393,Salidas,True,DANE_ENIG_2006_2007
verduras frescas amarradas (macitos de la Costa Atlántica),2288,Salidas,True,DANE_ENIG_2006_2007
"Verduras picadas en bandeja o en bolsa (revuelto verde, macitos)",5102,Salidas,True,DANE_ENIG_2006_2007
"Talego, bolsa, bandeja o tarro de ensalada",558,Salidas,True,DANE_ENIG_2006_2007
"Fríjol seco: bolaroja, cargamanto, guarzo, guandul, zaragoza, blanquillo, etc.",9760,Salidas,True,DANE_ENIG_2006_2007
Arveja seca,2331,Salidas,True,DANE_ENIG_2006_2007
Habas secas,1923,Salidas,True,DANE_ENIG_2006_2007
Lentejas,4398,Salidas,True,DANE_ENIG_2006_2007
Garbanzos,1504,Salidas,True,DANE_ENIG_2006_2007
"Verduras, hortalizas y legumbres enlatadas: arveja, fríjoles, maíz, espárrago",10795,Salidas,False,DANE_ENIG_2006_2007
"Aceitunas, alcaparras, pepinillos y otros encurtidos en tarro",5162,Salidas,True,DANE_ENIG_2006_2007
Legumbres y hortalizas deshidratadas,7311,Salidas,True,DANE_ENIG_2006_2007
Plátano verde,7438,Salidas,True,DANE_ENIG_2006_2007
Plátano maduro,4332,Salidas,True,DANE_ENIG_2006_2007
"Colicero, guineo, mataburro",1446,Salidas,True,DANE_ENIG_2006_2007
"Papa común: pastusa, tocarreña, R12",11400,Salidas,False,DANE_ENIG_2006_2007
Papa criolla o amarilla,3254,Salidas,True,DANE_ENIG_2006_2007
Yuca,5911,Salidas,True,DANE_ENIG_2006_2007
Arracacha,1235,Salidas,True,DANE_ENIG_2006_2007
Ñame,4099,Salidas,True,DANE_ENIG_2006_2007
"Ullucos, cubios, hibias, chuguas, rubas",1576,Salidas,True,DANE_ENIG_2006_2007
"Otras raíces y tubérculos: mafafa, achira, batata, etc",1203,Salidas,True,DANE_ENIG_2006_2007
"Papa, yuca y plátano precocidos",2040,Salidas,True,DANE_ENIG_2006_2007
"Harina de plátano, de yuca, de achiras, puré de papas",830,Salidas,True,DANE_ENIG_2006_2007
Azúcar refinada,6415,Salidas,True,DANE_ENIG_2006_2007
Azúcar natural o morena,6950,Salidas,True,DANE_ENIG_2006_2007
"Endulzantes dietéticos: Aspartame, fructuosa",14752,Salidas,False,DANE_ENIG_2006_2007
Panela,10231,Salidas,False,DANE_ENIG_2006_2007
Jaleas y mermeladas,1033,Salidas,True,DANE_ENIG_2006_2007
Compotas,2519,Salidas,True,DANE_ENIG_2006_2007
Bocadillos,1763,Salidas,True,DANE_ENIG_2006_2007
Arequipe,1681,Salidas,True,DANE_ENIG_2006_2007
"Herpos, tumes y otros dulces de arequipe y bocadillo",994,Salidas,True,DANE_ENIG_2006_2007
Gelatina de pata negra o blanca,449,Salidas,True,DANE_ENIG_2006_2007
"Gelatinas, flanes y pudines en vaso listos para el consumo",1839,Salidas,True,DANE_ENIG_2006_2007
"Miel de abejas, melazas y almíbares",2686,Salidas,True,DANE_ENIG_2006_2007
Pasta de chocolate para ponqué y cobertura de chocolate,808,Salidas,True,DANE_ENIG_2006_2007
"Dulces, confites, caramelos, bombones, chocolatinas, chicles, masmelos",3363,Salidas,True,DANE_ENIG_2006_2007
"Helados, conos, paletas, vasitos, refrescos congelados y tortas heladas",6363,Salidas,True,DANE_ENIG_2006_2007
"Gelatinas, flanes y pudines en polvo para preparar",2317,Salidas,True,DANE_ENIG_2006_2007
Polvo para preparar helados,886,Salidas,True,DANE_ENIG_2006_2007
"Frutas en conserva: Melocotón, piña, brevas, etc.",4149,Salidas,True,DANE_ENIG_2006_2007
Salsa de tomate,5061,Salidas,True,DANE_ENIG_2006_2007
Mayonesa,3634,Salidas,True,DANE_ENIG_2006_2007
"Mostaza, salsa rosada",1086,Salidas,True,DANE_ENIG_2006_2007
Pasta de tomate,2418,Salidas,True,DANE_ENIG_2006_2007
"Otras salsas: salsa de soya, salsa china, salsa tártara, salsa de ají, ají picante",2085,Salidas,True,DANE_ENIG_2006_2007
Vinagre,998,Salidas,True,DANE_ENIG_2006_2007
Sal,1665,Salidas,True,DANE_ENIG_2006_2007
Cominos,489,Salidas,True,DANE_ENIG_2006_2007
Pimienta,183,Salidas,True,DANE_ENIG_2006_2007
Laurel,176,Salidas,True,DANE_ENIG_2006_2007
Tomillo,94,Salidas,True,DANE_ENIG_2006_2007
Color,554,Salidas,True,DANE_ENIG_2006_2007
"Ajo en polvo o en pasta, canela, clavos, nuez moscada",277,Salidas,True,DANE_ENIG_2006_2007
"Hierbas culinarias: perejil, cilantro, romero, orégano, etc",687,Salidas,True,DANE_ENIG_2006_2007
"Sopas: de vegetales, de carne, de pollo, de pescado, cremas de sobre, sopas para bebe",1700,Salidas,True,DANE_ENIG_2006_2007
Caldos y consomés concentrados (cubos y polvo),1454,Salidas,True,DANE_ENIG_2006_2007
Bases para preparar carnes y otros alimentos,294,Salidas,True,DANE_ENIG_2006_2007
"Frituras: papas fritas, chitos, maizitos, patacones, besitos, etc",10413,Salidas,False,DANE_ENIG_2006_2007
Levaduras y esencias (polvo para hornear),294,Salidas,True,DANE_ENIG_2006_2007
Alimentos precocidos: ajiaco y lechona enlatados y similares,6341,Salidas,True,DANE_ENIG_2006_2007
Mercados sin especificar productos,329201,Salidas,False,DANE_ENIG_2006_2007
Anchetas,6457,Salidas,True,DANE_ENIG_2006_2007
Café molido,6609,Salidas,True,DANE_ENIG_2006_2007
Café instantáneo en polvo o granulado,3560,Salidas,True,DANE_ENIG_2006_2007
Café en grano,1213,Salidas,True,DANE_ENIG_2006_2007
"Otras bebidas preparadas con café instantáneo: capuchino, mocachino, café con leche",787,Salidas,True,DANE_ENIG_2006_2007
Extractos y esencias de café,204,Salidas,True,DANE_ENIG_2006_2007
Chocolate en pastillas (con y sin azúcar),5532,Salidas,True,DANE_ENIG_2006_2007
Chocolate instantáneo en polvo o granulado,1908,Salidas,True,DANE_ENIG_2006_2007
Cocoa y chucula,496,Salidas,True,DANE_ENIG_2006_2007
Polvo para preparar bebidas achocolatadas,526,Salidas,True,DANE_ENIG_2006_2007
Bebidas achocolatadas listas para consumir,581,Salidas,True,DANE_ENIG_2006_2007
Té,394,Salidas,True,DANE_ENIG_2006_2007
"Hierbas aromáticas (secas y frescas), mate",394,Salidas,True,DANE_ENIG_2006_2007
Agua mineral,6126,Salidas,True,DANE_ENIG_2006_2007
Agua en lata o de carrotanque,6428,Salidas,True,DANE_ENIG_2006_2007
Hielo,1629,Salidas,True,DANE_ENIG_2006_2007
Gaseosas,13425,Salidas,False,DANE_ENIG_2006_2007
Maltas,2425,Salidas,True,DANE_ENIG_2006_2007
Refrescos líquidos empacados (jugos y bebidas hidratantes),3194,Salidas,True,DANE_ENIG_2006_2007
Concentrados para preparar refrescos,3533,Salidas,True,DANE_ENIG_2006_2007
Aguardiente,33228,Salidas,False,DANE_ENIG_2006_2007
Ron,37510,Salidas,False,DANE_ENIG_2006_2007
"Whisky, brandy, vodka, ginebra, cognac, tequila y similares",100127,Salidas,False,DANE_ENIG_2006_2007
"Cremas de licor (de amareto, de whisky, etc.), sabajón y ponche crema",32322,Salidas,False,DANE_ENIG_2006_2007
"Otras bebidas alcohólicas: aperitivos que no sean a base de vino, mezclas de coc",18736,Salidas,False,DANE_ENIG_2006_2007
"Vino, champaña, jerez y aperitivos a base de vino",22341,Salidas,False,DANE_ENIG_2006_2007
Cerveza nacional e importada,29323,Salidas,False,DANE_ENIG_2006_2007
Refajo preparado: Cola y Pola,10281,Salidas,False,DANE_ENIG_2006_2007
Cigarrillos con filtro,18813,Salidas,False,DANE_ENIG_2006_2007
Cigarrillos sin filtro,8354,Salidas,True,DANE_ENIG_2006_2007
Tabacos y picadura para pipa o para armar cigarrillos,8805,Salidas,True,DANE_ENIG_2006_2007
"Estupefacientes: cocaína, éxtasis, heroína, marihuana, bazuco, crack, etc.",7790,Salidas,True,DANE_ENIG_2006_2007
"Telas para la confección de ropa de hombre, mujer, niño, niña y bebé",13802,Salidas,False,DANE_ENIG_2006_2007
Camisas para hombre,19883,Salidas,False,DANE_ENIG_2006_2007
"Camisetas, franelas, esqueletos, polos para hombre",14064,Salidas,False,DANE_ENIG_2006_2007
"Calzoncillos, pantaloncillos, boxers para hombre",8338,Salidas,True,DANE_ENIG_2006_2007
Medias y calcetines para hombre,4930,Salidas,True,DANE_ENIG_2006_2007
Pantalones para hombre,21922,Salidas,False,DANE_ENIG_2006_2007
jeans para hombre,27143,Salidas,False,DANE_ENIG_2006_2007
"Bermudas, pantalonetas y pantalón corto para hombre",9944,Salidas,True,DANE_ENIG_2006_2007
"Vestido completo (sólo pantalón, chaqueta y/o chaleco) para hombre",108824,Salidas,False,DANE_ENIG_2006_2007
"Blazers, chaquetas, chaquetones, chompas y sacos de sport en paño, cuero, gamuza",32096,Salidas,False,DANE_ENIG_2006_2007
"Buzos, chalecos, sacos de lana y similares para hombre",18318,Salidas,False,DANE_ENIG_2006_2007
"Gabardinas, gabanes, abrigos y sobretodos para hombre",38830,Salidas,False,DANE_ENIG_2006_2007
Capas e impermeables para hombre,13095,Salidas,False,DANE_ENIG_2006_2007
"Sudaderas, trusas y bicicleteros para hombre",19512,Salidas,False,DANE_ENIG_2006_2007
Pantalonetas de baño para hombre,8830,Salidas,True,DANE_ENIG_2006_2007
Pijamas y batas para hombre,12453,Salidas,False,DANE_ENIG_2006_2007
Otros artículos de vestir para hombre (depotivos y formales),13190,Salidas,False,DANE_ENIG_2006_2007
Blusas para mujer,16185,Salidas,False,DANE_ENIG_2006_2007
"Camisetas, franelas y bodies para mujer",14529,Salidas,False,DANE_ENIG_2006_2007
"Pantalones, slacks y chicles para mujer",20838,Salidas,False,DANE_ENIG_2006_2007
"Shorts, bermudas y pantalonetas para mujer",13625,Salidas,False,DANE_ENIG_2006_2007
Jeans para mujer,25556,Salidas,False,DANE_ENIG_2006_2007
Faldas para mujer,13332,Salidas,False,DANE_ENIG_2006_2007
"Brassieres, tops y sostenes para mujer",11226,Salidas,False,DANE_ENIG_2006_2007
Pantys (interiores) para mujer,7901,Salidas,True,DANE_ENIG_2006_2007
Media de lana y otros materiales diferente a velada para mujer,4597,Salidas,True,DANE_ENIG_2006_2007
Medias veladas para mujer,10020,Salidas,False,DANE_ENIG_2006_2007
"Enaguas, fondos y combinaciones para mujer",6337,Salidas,True,DANE_ENIG_2006_2007
Vestidos confeccionados para mujer,34273,Salidas,False,DANE_ENIG_2006_2007
"Buzos, chalecos, sacos de lana y similares para mujer",17781,Salidas,False,DANE_ENIG_2006_2007
"Blazers, chaquetas, chaquetones y sacos de sport en paño, cuero, gamuza y otros materiales para muje",26679,Salidas,False,DANE_ENIG_2006_2007
"Gabardinas, gabanes, abrigos y sobretodos para mujer",35112,Salidas,False,DANE_ENIG_2006_2007
Capas e impermeables para mujer,17439,Salidas,False,DANE_ENIG_2006_2007
"Sudaderas, trusas y bicicleteros para mujer",13227,Salidas,False,DANE_ENIG_2006_2007
Traje de baño para mujer,16340,Salidas,False,DANE_ENIG_2006_2007
Pijamas y batas para mujer,12098,Salidas,False,DANE_ENIG_2006_2007
Otros artículos de vestir para mujer (deportivos y formales),24053,Salidas,False,DANE_ENIG_2006_2007
Camisas para niño,10636,Salidas,False,DANE_ENIG_2006_2007
"Camisetas, franelas, esqueletos, polos para niño",9809,Salidas,True,DANE_ENIG_2006_2007
"Calzoncillos, pantaloncillos, boxers para niño",5048,Salidas,True,DANE_ENIG_2006_2007
Medias y calcetines para niño,3761,Salidas,True,DANE_ENIG_2006_2007
Pantalones para niño,12333,Salidas,False,DANE_ENIG_2006_2007
Jeans para niño,16558,Salidas,False,DANE_ENIG_2006_2007
"Bermudas, pantalonetas y pantalón corto para niño",8840,Salidas,True,DANE_ENIG_2006_2007
"Vestido completo (sólo pantalón, chaqueta y/o chaleco) para niño",21694,Salidas,False,DANE_ENIG_2006_2007
"Blazers, chaquetas, chompas y sacos de sport en paño, cuero, gamuza y otros mate",17475,Salidas,False,DANE_ENIG_2006_2007
"Buzos, chalecos, sacos de lana y similares para niño",11988,Salidas,False,DANE_ENIG_2006_2007
"Gabardinas, gabanes, abrigos y sobretodo para niño",32969,Salidas,False,DANE_ENIG_2006_2007
Capas e impermeables para niño,4797,Salidas,True,DANE_ENIG_2006_2007
"Sudaderas, trusas y bicicleteros para niño",12919,Salidas,False,DANE_ENIG_2006_2007
Pantalonetas de baño para niño,5784,Salidas,True,DANE_ENIG_2006_2007
Pijamas y batas para niño,9294,Salidas,True,DANE_ENIG_2006_2007
Otros artículos de vestir para niño (deportivos y formales),17110,Salidas,False,DANE_ENIG_2006_2007
Blusas para niña,10176,Salidas,False,DANE_ENIG_2006_2007
"Camisetas, franelas y bodies para niña",7716,Salidas,True,DANE_ENIG_2006_2007
"Pantalones, slacks y chicles para niña",11643,Salidas,False,DANE_ENIG_2006_2007
"Shorts, bermudas y pantalonetas para niña",8552,Salidas,True,DANE_ENIG_2006_2007
jeans para niña,16679,Salidas,False,DANE_ENIG_2006_2007
Faldas para niña,9549,Salidas,True,DANE_ENIG_2006_2007
Vestidos confeccionados para niña,16380,Salidas,False,DANE_ENIG_2006_2007
"Enaguas, fondos, combinaciones para niña",5072,Salidas,True,DANE_ENIG_2006_2007
Pantys (interiores) para niña,4576,Salidas,True,DANE_ENIG_2006_2007
"Brassieres, sostenes, tops y acostumbradores para niña",6871,Salidas,True,DANE_ENIG_2006_2007
"Media tobillera, media pantalón, media media (velada, de lana y otros materiales",3113,Salidas,True,DANE_ENIG_2006_2007
"Buzos, chalecos, sacos de lana y similares para niña",10451,Salidas,False,DANE_ENIG_2006_2007
"Blazers, chaquetas, chaquetones y sacos de sport en paño, cuero, gamuza y otros",14834,Salidas,False,DANE_ENIG_2006_2007
"Gabardinas, gabanes, abrigos y sobretodos para niña",4509,Salidas,True,DANE_ENIG_2006_2007
Capas e impermeables para niña,1685,Salidas,True,DANE_ENIG_2006_2007
"Sudaderas, trusas y bicicleteros para niña",15295,Salidas,False,DANE_ENIG_2006_2007
Traje de baño para niña,14128,Salidas,False,DANE_ENIG_2006_2007
Pijamas y batas para niña,9031,Salidas,True,DANE_ENIG_2006_2007
