descripcion,monto,categoria,es_gasto_hormiga
xbox game pass julio,29900,Susc.,False
tinto mañana,1088,Salidas,True
cuota crédito daviplata,300000,Fijos,False
playstation plus junio,29900,Susc.,False
indriver al el gym,19230,Salidas,True
uber desde el jumbo,15992,Salidas,True
beca estudio septiembre,400000,Ingresos,False
seguro soat julio,65000,Fijos,False
parqueadero la panadería,12278,Salidas,True
gaseosa de pollo,4898,Salidas,True
remesas exterior agosto,1500000,Ingresos,False
internet claro septiembre,79900,Fijos,False
clases de ingles julio,300000,Susc.,False
domicilio domicilios.com desayuno,48863,Salidas,True
cuota hipoteca bancolombia,900000,Fijos,False
ingreso taxista mes,2200000,Ingresos,False
cerveza club colombia con parce,11169,Salidas,True
ingreso uber driver octubre,1400000,Ingresos,False
juguetes navidad,353671,Salidas,False
beca estudio febrero,300000,Ingresos,False
dj para la rumba,500000,Salidas,False
parqueadero oma,6858,Salidas,True
tinto mañana,2258,Salidas,True
curso udemy,60956,Salidas,False
entrada cine,22000,Salidas,True
rappi prime diciembre,17900,Susc.,True
tiquete latam bogota cali,173740,Salidas,False
papas salchipapa semana,11470,Salidas,True
nomina diciembre,3500000,Ingresos,False
arriendos recibidos agosto,1200000,Ingresos,False
comida corriente,12000,Salidas,True
transferencia bancolombia,500000,Salidas,False
arriendos recibidos octubre,800000,Ingresos,False
sardinas,6000,Salidas,True
sueldo part time enero,1000000,Ingresos,False
pensión vejez septiembre,1200000,Ingresos,False
dj para la rumba quincenal,504178,Salidas,False
pension colegio octubre,350000,Fijos,False
disney plus agosto,21900,Susc.,False
antibiótico en la droguería,38000,Fijos,False
libro fisico libreria,52864,Salidas,False
recarga celular claro,5924,Salidas,True
venta mercado libre septiembre,500000,Ingresos,False
subsidio gobierno julio,300000,Ingresos,False
pandebono jueves,2895,Salidas,True
arepa con chicharrón,7409,Salidas,True
vpn duo mensual,35000,Susc.,True
pago eps diciembre,120000,Fijos,False
cafe en juan valdez,11830,Salidas,True
cerveza del asado,55000,Salidas,True
lavado en lavanderí a,41137,Salidas,False
ingreso uber driver septiembre,2200000,Ingresos,False
venta mercado libre octubre,300000,Ingresos,False
servicio tecnico celular de hoy,128399,Salidas,False
adobe enero,120000,Susc.,False
pension colegio diciembre,250000,Fijos,False
pago eps diciembre,145000,Fijos,False
cuota crédito davivienda,500000,Fijos,False
venta mercado libre julio,700000,Ingresos,False
nomina diciembre,3500000,Ingresos,False
disney plus agosto,21900,Susc.,False
pension colegio marzo,600000,Fijos,False
arriendos recibidos diciembre,700000,Ingresos,False
zapatos en mario hernandez,383013,Salidas,False
sueldo quincena,1250000,Ingresos,False
colonia en la tienda,150423,Salidas,False
mecato noche,2777,Salidas,True
viaje a cartagena de hoy,991677,Salidas,False
plan celular tigo,39900,Fijos,False
tragos martes,95517,Salidas,True
recibo luz enero,64719,Fijos,False
regalo navidad familia para el trabajo,180199,Salidas,False
taxi al el éxito,17511,Salidas,True
aporte pensión mayo,200000,Fijos,False
remesas exterior julio,1000000,Ingresos,False
gym smart fit abril,110000,Susc.,False
canva pro julio,65000,Susc.,True
gaseosa de pollo,3304,Salidas,True
cuota hipoteca bbva,800000,Fijos,False
esponjas cocina,8000,Salidas,True
papel film,10000,Salidas,True
cafe en el carrito,7892,Salidas,True
arriendo octubre,1100000,Fijos,False
salida con la china al bar,90000,Salidas,True
pandebono jueves,4615,Salidas,True
lotería martes,4847,Salidas,True
arriendo agosto,950000,Fijos,False
icloud 50gb enero,35900,Susc.,True
almuerzo en restaurante,18000,Salidas,True
cafe en el puesto,4560,Salidas,True
donacion fundacion,47099,Salidas,False
suscripcion app diciembre,14900,Susc.,True
empanada de pipián,2853,Salidas,True
pension colegio mayo,900000,Fijos,False
chicle beldent,500,Salidas,True
ancheta navideña,174733,Salidas,False
lonchera del niño martes,9139,Salidas,True
metro de las de las 8,3040,Salidas,True
hosting web mensual,45000,Fijos,False
ropa en el éxito,150000,Salidas,False
cuota crédito davivienda,600000,Fijos,False
pandebono viernes,3442,Salidas,True
indriver al el gym,11830,Salidas,True
suplementos proteína,177612,Salidas,False
venta computador,100000,Ingresos,False
youtube premium septiembre,14900,Susc.,False
pandebono viernes,4882,Salidas,True
subsidio gobierno junio,300000,Ingresos,False
pescado fresco,38000,Salidas,False
cafe en el carrito,9273,Salidas,True
toallas baño,58430,Salidas,False
arroz en bulto,85000,Salidas,False
uber desde la casa,26177,Salidas,True
propina domicilio,2422,Salidas,True
microsoft 365 julio,42900,Susc.,False
carne de res kilos,53754,Salidas,False
seguro vida octubre,120000,Fijos,False
xbox game pass diciembre,19900,Susc.,False
ingreso plataforma digital febrero,500000,Ingresos,False
spotify con anuncios noviembre,17900,Susc.,True
subsidio gobierno septiembre,200000,Ingresos,False
tiquete latam bogota cali,145543,Salidas,False
tenis nike de hoy,421599,Salidas,False
mecato noche,4585,Salidas,True
recibo acueducto diciembre,46604,Fijos,False
microsoft 365 mayo,35000,Susc.,False
desayuno semana,12975,Salidas,True
cena lunes,24269,Salidas,True
suscripcion app diciembre,35000,Susc.,True
arriendo mensual apartaestudio,750000,Fijos,False
libros de texto,85000,Salidas,False
raspa y gana,5296,Salidas,True
apple tv plus,17900,Susc.,False
aporte pensión independiente,295000,Fijos,False
recibo acueducto abril,71465,Fijos,False
netflix básico mayo,17900,Susc.,False
plataforma estudio octubre,65000,Susc.,False
tragos semana,97571,Salidas,True
chance semana,6582,Salidas,True
ajiaco en el restaurante,25000,Salidas,True
mercado pago,0,Susc.,False
parqueadero la cafetería,9333,Salidas,True
recibo acueducto febrero,52283,Fijos,False
nevera nueva,2200000,Salidas,False
lotería sábado,3735,Salidas,True
transferencia familia junio,100000,Ingresos,False
acueducto y alcantarillado,70000,Fijos,False
beca estudio febrero,500000,Ingresos,False
ingreso extra fotografía,700000,Ingresos,False
arriendos recibidos enero,700000,Ingresos,False
cargador celular,45000,Salidas,True
aporte pensión mayo,250000,Fijos,False
rappi prime septiembre,9900,Susc.,True
papas salchipapa domingo,6476,Salidas,True
cafe juan valdez,9500,Salidas,True
cuota crédito scotiabank,900000,Fijos,False
devolución iva diciembre,100000,Ingresos,False
ingreso extra traducciones,500000,Ingresos,False
servicio tecnico celular,143756,Salidas,False
chance semana,5722,Salidas,True
sueldo mensual basico,1160000,Ingresos,False
cuota hipoteca daviplata,1100000,Fijos,False
xbox game pass septiembre,29900,Susc.,False
tiquete aéreo bogotá-medellín,323159,Salidas,False
vacaciones en san andrés,1516075,Salidas,False
onces sábado,9295,Salidas,True
galletas oreo,5000,Salidas,True
recarga celular claro,8270,Salidas,True
arriendo abril,1100000,Fijos,False
boleta partido nacional,55000,Salidas,True
pago eps agosto,280000,Fijos,False
adobe mayo,120000,Susc.,False
internet movistar noviembre,109900,Fijos,False
recibo de luz epm,95000,Fijos,False
disney plus enero,17900,Susc.,False
regalo baby shower,133549,Salidas,False
tarjeta regalo falabella semanal,98726,Salidas,False
plomero emergencia,120000,Fijos,False
veterinario consulta,98918,Salidas,False
sobrebarriga guisada,30709,Salidas,False
nequi recarga,88297,Salidas,False
netflix familia julio,29900,Susc.,False
pasaje bus bogota medellin,109183,Salidas,False
seguro vida abril,50000,Fijos,False
cuota tarjeta scotiabank,400000,Fijos,False
tragos en la discoteca,80000,Salidas,True
uber desde el banco,19200,Salidas,True
tiquete latam bogota cali,180000,Salidas,False
escoba y trapero,29116,Salidas,False
vpn con anuncios mensual,25000,Susc.,True
pasaje bus intermunicipal,65000,Salidas,False
dulces tienda semana,4428,Salidas,True
sueldo part time octubre,900000,Ingresos,False
mercado en el éxito mensual para la casa,634142,Salidas,False
picada con los parces,81497,Salidas,True
sabanas,116712,Salidas,False
plan celular tigo,65000,Fijos,False
aporte pensión diciembre,150000,Fijos,False
cuota hipoteca itaú,900000,Fijos,False
pension colegio julio,450000,Fijos,False
parqueadero starbucks,13344,Salidas,True
remesas exterior febrero,500000,Ingresos,False
mazorca en la plaza,4500,Salidas,True
sarten,94527,Salidas,False
limonada de panela,4000,Salidas,True
internet une medellin,72000,Fijos,False
uber al trabajo,12000,Salidas,True
nevera nueva,2104246,Salidas,False
arriendo junio,800000,Fijos,False
internet etb enero,69900,Fijos,False
comision diciembre,200000,Ingresos,False
mecato la tarde,4617,Salidas,True
recibo gas diciembre,94217,Fijos,False
devolución iva febrero,150000,Ingresos,False
cafe en oma,9357,Salidas,True
tenis adidas,257233,Salidas,False
ingreso uber driver julio,1800000,Ingresos,False
visita al pueblo,283632,Salidas,False
buseta a el banco,2533,Salidas,True
subsidio gobierno abril,100000,Ingresos,False
cuota tarjeta bancolombia,150000,Fijos,False
seguro todo riesgo carro,280000,Fijos,False
honorarios desarrollo web febrero,2000000,Ingresos,False
internet etb agosto,49900,Fijos,False
recibo gas noviembre,115377,Fijos,False
helado de chocolate,7737,Salidas,True
nomina octubre,4000000,Ingresos,False
pago eps septiembre,145000,Fijos,False
cafe en la tienda,12727,Salidas,True
tinto antes de almuerzo,2222,Salidas,True
netflix con anuncios febrero,42900,Susc.,False
matricula universidad,2500000,Fijos,False
devolución iva febrero,250000,Ingresos,False
arroz chino,22000,Salidas,True
arriendo mayo,1100000,Fijos,False
recarga celular movistar,15710,Salidas,True
recibo gas octubre,81275,Fijos,False
camisa en studio f,195570,Salidas,False
sueldo part time enero,900000,Ingresos,False
bono de productividad,500000,Ingresos,False
caldo de pollo,10000,Salidas,True
rappi prime mayo,14900,Susc.,True
quincena febrero,800000,Ingresos,False
cena lunes,31302,Salidas,True
suplementos proteina,172671,Salidas,False
clases de ingles septiembre,180000,Susc.,False
honorarios marketing noviembre,1500000,Ingresos,False
internet tigo mensual,69900,Fijos,False
arriendo habitacion en residencia,450000,Fijos,False
freelance diseño,800000,Ingresos,False
quincena mayo,1250000,Ingresos,False
pension universidad marzo,900000,Fijos,False
empanada de verduras,2544,Salidas,True
tinto de las 8,1624,Salidas,True
recarga minutos celular,10000,Salidas,True
mesada universitaria marzo,800000,Ingresos,False
venta ropa usada,80000,Ingresos,False
onces semana,6173,Salidas,True
cobija para el frio,95000,Salidas,False
picada con los parces,65859,Salidas,True
sueldo part time febrero,900000,Ingresos,False
pandebono jueves,2383,Salidas,True
honorarios asesoría enero,3000000,Ingresos,False
mecato noche,4620,Salidas,True
toner impresora,180000,Salidas,False
almuerzo miércoles,19500,Salidas,True
freelance fotografía,1000000,Ingresos,False
hotel en cartagena noche,373300,Salidas,False
domicilio glovo cena,45744,Salidas,True
uber desde el jumbo,27461,Salidas,True
beca estudio julio,600000,Ingresos,False
chow mein,28000,Salidas,True
plancha de pelo,120000,Salidas,False
lonchera del niño domingo,15166,Salidas,True
recarga celular tigo,15597,Salidas,True
arriendo diciembre,750000,Fijos,False
recibo luz junio,148892,Fijos,False
cuota crédito itaú,500000,Fijos,False
spotify con anuncios junio,22900,Susc.,True
ingreso plataforma digital marzo,200000,Ingresos,False
bandeja paisa completa para el trabajo,34705,Salidas,False
arriendos recibidos junio,700000,Ingresos,False
arroz de mariscos,52449,Salidas,False
pago eps marzo,200000,Fijos,False
devolución iva noviembre,300000,Ingresos,False
pack 12 cervezas poker,52000,Salidas,True
postre en restaurante,12000,Salidas,True
seguro soat abril,55000,Fijos,False
crema corporal,55000,Salidas,True
ron medellín,35000,Salidas,True
lonchera del niño semana,14962,Salidas,True
agua en bolsa,500,Salidas,True
dominio y hosting julio,75000,Susc.,False
ancheta empresarial,286087,Salidas,False
concierto bad bunny,322323,Salidas,False
uber desde la casa,13406,Salidas,True
onces semana,13814,Salidas,True
cebolla y ajo semanal,10491,Salidas,False
adornos navideños,106261,Salidas,False
recarga celular movistar,13403,Salidas,True
buñuelo de las 8,2209,Salidas,True
freelance fotografía,1500000,Ingresos,False
tinto la tarde,1288,Salidas,True
curso udemy,55000,Salidas,False
changua del desayuno,7000,Salidas,True
gym smart fit mensual,89900,Susc.,False
plan celular tigo,85000,Fijos,False
ingreso mesero mensual,1400000,Ingresos,False
lavanderia mensual de hoy,89974,Salidas,False
buñuelo la tarde,1828,Salidas,True
periódico el tiempo digital,29900,Susc.,True
festival rumba stereo,163446,Salidas,False
microsoft 365 enero,65000,Susc.,False
metro de las de la tarde,3575,Salidas,True
raspa y gana,8062,Salidas,True
venta computador,50000,Ingresos,False
tinto de la tarde,1444,Salidas,True
ropa deportiva,169717,Salidas,False
prime video mayo,17900,Susc.,False
salchipapa de la esquina,8000,Salidas,True
suscripcion app abril,14900,Susc.,True
flores para la mamá,45000,Salidas,True
buseta a el éxito,2330,Salidas,True
pasaje bus bogota medellin,93246,Salidas,False
papeleria oficina,64826,Salidas,False
seguro soat enero,55000,Fijos,False
cebolla y ajo semanal,12394,Salidas,False
maquillaje mac,250000,Salidas,False
parqueadero la tienda,7492,Salidas,True
verduras en la plaza mensual,95863,Salidas,False
dulces tienda martes,2694,Salidas,True
aporte pensión noviembre,250000,Fijos,False
consulta médico general eps,0,Fijos,False
pension colegio julio,350000,Fijos,False
dulces tienda viernes,4174,Salidas,True
pensión vejez julio,1000000,Ingresos,False
recibo gas febrero,61338,Fijos,False
helado de mora,6077,Salidas,True
cuota crédito itaú,400000,Fijos,False
gym spinning club septiembre,89900,Susc.,False
buñuelo la tarde,1900,Salidas,True
cuota hipoteca itaú,800000,Fijos,False
caldo de ñ,8000,Salidas,True
seguro soat diciembre,75000,Fijos,False
wok de verduras,20000,Salidas,True
recibo luz febrero,114404,Fijos,False
transferencia bancolombia quincenal,443771,Salidas,False
torta de cumpleaños,95000,Salidas,False
limpido,8000,Salidas,True
frutas en el mercado,44365,Salidas,False
disney plus julio,17900,Susc.,False
utensilios cocina,159199,Salidas,False
mecato la tarde,2211,Salidas,True
empanada de pipián,3690,Salidas,True
cerveza pilsen con parce,6068,Salidas,True
seguro vida enero,65000,Fijos,False
cuota crédito bbva,400000,Fijos,False
papel higienico scott,18000,Salidas,True
camisa en studio f,177057,Salidas,False
metro de las de la tarde,3054,Salidas,True
camarones al ajillo,70142,Salidas,False
collar y correa,36916,Salidas,False
seguro soat octubre,55000,Fijos,False
vacuna mascota,95000,Salidas,False
plan celular wom,65000,Fijos,False
maquina de afeitar,151293,Salidas,False
recarga celular etb,14206,Salidas,True
beca estudio noviembre,300000,Ingresos,False
credito libre inversion,350000,Fijos,False
parqueadero juan valdez,8148,Salidas,True
mercerias el remate,29666,Salidas,False
bandeja paisa en restaurante,28000,Salidas,True
frutas en el mercado,45335,Salidas,False
mecato noche,2749,Salidas,True
plan celular etb,45000,Fijos,False
vpn duo mensual,35000,Susc.,True
tinto noche,1293,Salidas,True
libros de texto,84097,Salidas,False
chicken little kfc,18000,Salidas,True
recarga celular etb,27621,Salidas,True
gym crossfit julio,110000,Susc.,False
nevera nueva semanal,2610659,Salidas,False
internet tigo septiembre,49900,Fijos,False
buseta a el éxito,2727,Salidas,True
onces sábado,11400,Salidas,True
labial nyx,45000,Salidas,True
seguro vida octubre,120000,Fijos,False
pensión vejez febrero,2000000,Ingresos,False
chatgpt plus junio,65000,Susc.,True
taxi al el éxito,16891,Salidas,True
sobrebarriga guisada,27413,Salidas,False
vacuna mascota,78567,Salidas,False
waffle con helado,20000,Salidas,True
pandebono miércoles,4823,Salidas,True
arriendo mayo,950000,Fijos,False
canva pro febrero,49900,Susc.,True
buñuelo noche,1905,Salidas,True
pago minimo tarjeta,120000,Fijos,False
servilletas napkin,8000,Salidas,True
piñata,61904,Salidas,False
quincena junio,800000,Ingresos,False
bono productividad noviembre,700000,Ingresos,False
maíz pira,4000,Salidas,True
internet etb enero,79900,Fijos,False
beca estudio julio,400000,Ingresos,False
pago eps diciembre,145000,Fijos,False
psicologo online,120000,Susc.,False
regalo navidad familia,194564,Salidas,False
prime video abril,14900,Susc.,False
picada con los parces,83154,Salidas,True
tragos miércoles,83961,Salidas,True
gasolina corriente,80000,Salidas,True
helado de arequipe,3837,Salidas,True
ropa en el éxito,156542,Salidas,False
whisky johnnie walker,110935,Salidas,False
devolución de iva,200000,Ingresos,False
lotería sábado,4193,Salidas,True
ecografia embarazo,180000,Fijos,False
servicios funerarios,3000000,Fijos,False
transferencia familia enero,500000,Ingresos,False
icloud 50gb noviembre,19900,Susc.,True
adobe agosto,89000,Susc.,False
nequi recarga,89019,Salidas,False
helado crepes,15000,Salidas,True
lotería miércoles,3066,Salidas,True
paseo de olla del mes,187736,Salidas,False
cafe en oma,4474,Salidas,True
raspa y gana,9957,Salidas,True
transferencia familia marzo,500000,Ingresos,False
pasaje bus bogota medellin,80723,Salidas,False
raspa y gana,5000,Salidas,True
cena lunes,26423,Salidas,True
comision agosto,500000,Ingresos,False
cuota hipoteca bbva,800000,Fijos,False
domicilio ifood almuerzo,25000,Salidas,True
regalo san valentín quincenal,128992,Salidas,False
dj para la rumba,485039,Salidas,False
papas salchipapa lunes,8274,Salidas,True
subsidio gobierno marzo,300000,Ingresos,False
transferencia familia julio,500000,Ingresos,False
recibo luz junio,146267,Fijos,False
tinto de la tarde,2495,Salidas,True
empanada de pipián,3191,Salidas,True
venta moto usada,3500000,Ingresos,False
plan celular wom,29900,Fijos,False
vacaciones en san andrés,1800000,Salidas,False
netflix estudiante noviembre,25900,Susc.,False
mercado semanal éxito del mes,175673,Salidas,False
arroz de mariscos,45711,Salidas,False
cuota crédito scotiabank,900000,Fijos,False
bono productividad noviembre,700000,Ingresos,False
cochinillo regional quincenal,406321,Salidas,False
leche en caja,8500,Salidas,False
seguro soat agosto,45000,Fijos,False
sueldo part time enero,600000,Ingresos,False
buseta al trabajo,2500,Salidas,True
propina domicilio,3133,Salidas,True
regalo dia de la madre,121994,Salidas,False
psicólogo sesión,180000,Fijos,False
playstation plus febrero,29900,Susc.,False
libros de texto,70857,Salidas,False
ingreso uber driver febrero,800000,Ingresos,False
almuerzo semana,23410,Salidas,True
beca estudio julio,400000,Ingresos,False
pension colegio diciembre,600000,Fijos,False
cerveza corona con parce,7187,Salidas,True
churrasco en restaurante,65000,Salidas,False
impuesto predial anual,350000,Fijos,False
cuota hipoteca itaú,800000,Fijos,False
chance martes,3509,Salidas,True
youtube premium diciembre,18900,Susc.,False
presión arterial pastillas,45000,Fijos,False
recibo luz enero,103451,Fijos,False
ingreso plataforma digital septiembre,300000,Ingresos,False
cerveza pilsen con parce,7901,Salidas,True
torta de cumpleaños del mes,100923,Salidas,False
arriendo agosto,950000,Fijos,False
gym spinning club enero,100000,Susc.,False
helado de mango,7102,Salidas,True
canva pro julio,49900,Susc.,True
entrada teatro,65000,Salidas,True
gym body tech enero,70000,Susc.,False
cerveza poker con parce,10703,Salidas,True
pasaje bus bogota medellin,104220,Salidas,False
lotería viernes,4979,Salidas,True
canva pro junio,49900,Susc.,True
maquina de afeitar,151408,Salidas,False
vpn con anuncios mensual,19900,Susc.,True
vestido de baño,93516,Salidas,False
honorarios edición agosto,1000000,Ingresos,False
desayuno jueves,18544,Salidas,True
rappi prime diciembre,9900,Susc.,True
sueldo call center,1500000,Ingresos,False
pensión vejez marzo,1000000,Ingresos,False
llantas carro,800000,Fijos,False
transferencia familia mayo,700000,Ingresos,False
indriver al el éxito,17752,Salidas,True
te verde,9000,Salidas,True
servicio tecnico celular,134201,Salidas,False
mercado en d1 mensual,292191,Salidas,False
transferencia familia febrero,300000,Ingresos,False
recibo luz mayo,98989,Fijos,False
taxi al el trabajo,12867,Salidas,True
asado dominguero del mes,250659,Salidas,False
ingreso plataforma digital octubre,200000,Ingresos,False
seguro vida agosto,50000,Fijos,False
arepa con chocolate,5059,Salidas,True
descanso parque del café,281403,Salidas,False
lonchera del niño lunes,14523,Salidas,True
nomina febrero,2500000,Ingresos,False
quincena noviembre,1000000,Ingresos,False
concierto bad bunny,280000,Salidas,False
parqueadero oma,5941,Salidas,True
arriendo del apartamento marzo,950000,Fijos,False
honorarios diseño enero,3000000,Ingresos,False
pensión vejez septiembre,900000,Ingresos,False
propina domicilio,4506,Salidas,True
cena semana,20359,Salidas,True
gaseosa de pipián,2636,Salidas,True
tintoreria traje,44354,Salidas,False
impuesto vehiculos anual,280000,Fijos,False
tinto de la tarde,1137,Salidas,True
recibo luz noviembre,62077,Fijos,False
ingreso plataforma digital julio,200000,Ingresos,False
ingreso diseñador freelance,1200000,Ingresos,False
pizza dominos semanal,60189,Salidas,False
venta computador,800000,Ingresos,False
ingreso uber driver junio,1400000,Ingresos,False
pensión de los papás,300000,Fijos,False
playstation plus marzo,19900,Susc.,False
ingreso extra fotografía,700000,Ingresos,False
yogurt alpina,3500,Salidas,True
aromática,6000,Salidas,True
tomate semanal,17992,Salidas,False
gaseosa de espinaca,3593,Salidas,True
transferencia familia enero,300000,Ingresos,False
pescado fresco,32245,Salidas,False
