descripcion,monto,categoria,es_gasto_hormiga,fuente,peso,X
pack 6 cervezas águila,28000,alimentacion,True,synthetic,1,pack 6 cervezas águila monto:bajo
administración edificio marzo,200000,servicios,False,synthetic,1,administración edificio marzo monto:alto
administración edificio septiembre,250000,servicios,False,synthetic,1,administración edificio septiembre monto:alto
papas salchipapa jueves,11159,alimentacion,True,synthetic,1,papas salchipapa jueves monto:bajo
cuota hipoteca itaú,900000,servicios,False,synthetic,1,cuota hipoteca itaú monto:alto
xbox game pass julio,29900,tecnologia,False,synthetic,1,xbox game pass julio monto:bajo
tinto mañana,1088,alimentacion,True,synthetic,1,tinto mañana monto:bajo
cuota crédito daviplata,300000,servicios,False,synthetic,1,cuota crédito daviplata monto:alto
playstation plus junio,29900,tecnologia,False,synthetic,1,playstation plus junio monto:bajo
indriver al el gym,19230,alimentacion,True,synthetic,1,indriver al el gym monto:bajo
uber desde el jumbo,15992,alimentacion,True,synthetic,1,uber desde el jumbo monto:bajo
beca estudio septiembre,400000,ingreso_trabajo,False,synthetic,1,beca estudio septiembre monto:alto
seguro soat julio,65000,servicios,False,synthetic,1,seguro soat julio monto:medio
parqueadero la panadería,12278,alimentacion,True,synthetic,1,parqueadero la panadería monto:bajo
gaseosa de pollo,4898,alimentacion,True,synthetic,1,gaseosa de pollo monto:bajo
remesas exterior agosto,1500000,ingreso_trabajo,False,synthetic,1,remesas exterior agosto monto:alto
internet claro septiembre,79900,servicios,False,synthetic,1,internet claro septiembre monto:medio
clases de ingles julio,300000,tecnologia,False,synthetic,1,clases de ingles julio monto:alto
domicilio domicilios.com desayuno,48863,alimentacion,True,synthetic,1,domicilio domicilios.com desayuno monto:medio
cuota hipoteca bancolombia,900000,servicios,False,synthetic,1,cuota hipoteca bancolombia monto:alto
ingreso taxista mes,2200000,ingreso_trabajo,False,synthetic,1,ingreso taxista mes monto:alto
cerveza club colombia con parce,11169,alimentacion,True,synthetic,1,cerveza club colombia con parce monto:bajo
ingreso uber driver octubre,1400000,ingreso_trabajo,False,synthetic,1,ingreso uber driver octubre monto:alto
juguetes navidad,353671,alimentacion,False,synthetic,1,juguetes navidad monto:alto
beca estudio febrero,300000,ingreso_trabajo,False,synthetic,1,beca estudio febrero monto:alto
dj para la rumba,500000,alimentacion,False,synthetic,1,dj para la rumba monto:alto
parqueadero oma,6858,alimentacion,True,synthetic,1,parqueadero oma monto:bajo
tinto mañana,2258,alimentacion,True,synthetic,1,tinto mañana monto:bajo
curso udemy,60956,alimentacion,False,synthetic,1,curso udemy monto:medio
entrada cine,22000,alimentacion,True,synthetic,1,entrada cine monto:bajo
rappi prime diciembre,17900,tecnologia,True,synthetic,1,rappi prime diciembre monto:bajo
tiquete latam bogota cali,173740,alimentacion,False,synthetic,1,tiquete latam bogota cali monto:alto
papas salchipapa semana,11470,alimentacion,True,synthetic,1,papas salchipapa semana monto:bajo
nomina diciembre,3500000,ingreso_trabajo,False,synthetic,1,nomina diciembre monto:alto
arriendos recibidos agosto,1200000,ingreso_trabajo,False,synthetic,1,arriendos recibidos agosto monto:alto
comida corriente,12000,alimentacion,True,synthetic,1,comida corriente monto:bajo
transferencia bancolombia,500000,alimentacion,False,synthetic,1,transferencia bancolombia monto:alto
arriendos recibidos octubre,800000,ingreso_trabajo,False,synthetic,1,arriendos recibidos octubre monto:alto
sardinas,6000,alimentacion,True,synthetic,1,sardinas monto:bajo
sueldo part time enero,1000000,ingreso_trabajo,False,synthetic,1,sueldo part time enero monto:alto
pensión vejez septiembre,1200000,ingreso_trabajo,False,synthetic,1,pensión vejez septiembre monto:alto
dj para la rumba quincenal,504178,alimentacion,False,synthetic,1,dj para la rumba quincenal monto:alto
pension colegio octubre,350000,servicios,False,synthetic,1,pension colegio octubre monto:alto
disney plus agosto,21900,tecnologia,False,synthetic,1,disney plus agosto monto:bajo
antibiótico en la droguería,38000,servicios,False,synthetic,1,antibiótico en la droguería monto:medio
libro fisico libreria,52864,alimentacion,False,synthetic,1,libro fisico libreria monto:medio
recarga celular claro,5924,alimentacion,True,synthetic,1,recarga celular claro monto:bajo
venta mercado libre septiembre,500000,ingreso_trabajo,False,synthetic,1,venta mercado libre septiembre monto:alto
subsidio gobierno julio,300000,ingreso_trabajo,False,synthetic,1,subsidio gobierno julio monto:alto
pandebono jueves,2895,alimentacion,True,synthetic,1,pandebono jueves monto:bajo
arepa con chicharrón,7409,alimentacion,True,synthetic,1,arepa con chicharrón monto:bajo
vpn duo mensual,35000,tecnologia,True,synthetic,1,vpn duo mensual monto:medio
pago eps diciembre,120000,servicios,False,synthetic,1,pago eps diciembre monto:medio
cafe en juan valdez,11830,alimentacion,True,synthetic,1,cafe en juan valdez monto:bajo
cerveza del asado,55000,alimentacion,True,synthetic,1,cerveza del asado monto:medio
lavado en lavanderí a,41137,alimentacion,False,synthetic,1,lavado en lavanderí a monto:medio
ingreso uber driver septiembre,2200000,ingreso_trabajo,False,synthetic,1,ingreso uber driver septiembre monto:alto
venta mercado libre octubre,300000,ingreso_trabajo,False,synthetic,1,venta mercado libre octubre monto:alto
servicio tecnico celular de hoy,128399,alimentacion,False,synthetic,1,servicio tecnico celular de hoy monto:medio
adobe enero,120000,tecnologia,False,synthetic,1,adobe enero monto:medio
pension colegio diciembre,250000,servicios,False,synthetic,1,pension colegio diciembre monto:alto
pago eps diciembre,145000,servicios,False,synthetic,1,pago eps diciembre monto:medio
cuota crédito davivienda,500000,servicios,False,synthetic,1,cuota crédito davivienda monto:alto
venta mercado libre julio,700000,ingreso_trabajo,False,synthetic,1,venta mercado libre julio monto:alto
nomina diciembre,3500000,ingreso_trabajo,False,synthetic,1,nomina diciembre monto:alto
disney plus agosto,21900,tecnologia,False,synthetic,1,disney plus agosto monto:bajo
pension colegio marzo,600000,servicios,False,synthetic,1,pension colegio marzo monto:alto
arriendos recibidos diciembre,700000,ingreso_trabajo,False,synthetic,1,arriendos recibidos diciembre monto:alto
zapatos en mario hernandez,383013,alimentacion,False,synthetic,1,zapatos en mario hernandez monto:alto
sueldo quincena,1250000,ingreso_trabajo,False,synthetic,1,sueldo quincena monto:alto
colonia en la tienda,150423,alimentacion,False,synthetic,1,colonia en la tienda monto:alto
mecato noche,2777,alimentacion,True,synthetic,1,mecato noche monto:bajo
viaje a cartagena de hoy,991677,alimentacion,False,synthetic,1,viaje a cartagena de hoy monto:alto
plan celular tigo,39900,servicios,False,synthetic,1,plan celular tigo monto:medio
tragos martes,95517,alimentacion,True,synthetic,1,tragos martes monto:medio
recibo luz enero,64719,servicios,False,synthetic,1,recibo luz enero monto:medio
regalo navidad familia para el trabajo,180199,alimentacion,False,synthetic,1,regalo navidad familia para el trabajo monto:alto
taxi al el éxito,17511,alimentacion,True,synthetic,1,taxi al el éxito monto:bajo
aporte pensión mayo,200000,servicios,False,synthetic,1,aporte pensión mayo monto:alto
remesas exterior julio,1000000,ingreso_trabajo,False,synthetic,1,remesas exterior julio monto:alto
gym smart fit abril,110000,tecnologia,False,synthetic,1,gym smart fit abril monto:medio
canva pro julio,65000,tecnologia,True,synthetic,1,canva pro julio monto:medio
gaseosa de pollo,3304,alimentacion,True,synthetic,1,gaseosa de pollo monto:bajo
cuota hipoteca bbva,800000,servicios,False,synthetic,1,cuota hipoteca bbva monto:alto
esponjas cocina,8000,alimentacion,True,synthetic,1,esponjas cocina monto:bajo
papel film,10000,alimentacion,True,synthetic,1,papel film monto:bajo
cafe en el carrito,7892,alimentacion,True,synthetic,1,cafe en el carrito monto:bajo
arriendo octubre,1100000,servicios,False,synthetic,1,arriendo octubre monto:alto
salida con la china al bar,90000,alimentacion,True,synthetic,1,salida con la china al bar monto:medio
pandebono jueves,4615,alimentacion,True,synthetic,1,pandebono jueves monto:bajo
lotería martes,4847,alimentacion,True,synthetic,1,lotería martes monto:bajo
arriendo agosto,950000,servicios,False,synthetic,1,arriendo agosto monto:alto
icloud 50gb enero,35900,tecnologia,True,synthetic,1,icloud 50gb enero monto:medio
almuerzo en restaurante,18000,alimentacion,True,synthetic,1,almuerzo en restaurante monto:bajo
cafe en el puesto,4560,alimentacion,True,synthetic,1,cafe en el puesto monto:bajo
donacion fundacion,47099,alimentacion,False,synthetic,1,donacion fundacion monto:medio
suscripcion app diciembre,14900,tecnologia,True,synthetic,1,suscripcion app diciembre monto:bajo
empanada de pipián,2853,alimentacion,True,synthetic,1,empanada de pipián monto:bajo
pension colegio mayo,900000,servicios,False,synthetic,1,pension colegio mayo monto:alto
chicle beldent,500,alimentacion,True,synthetic,1,chicle beldent monto:bajo
ancheta navideña,174733,alimentacion,False,synthetic,1,ancheta navideña monto:alto
lonchera del niño martes,9139,alimentacion,True,synthetic,1,lonchera del niño martes monto:bajo
metro de las de las 8,3040,alimentacion,True,synthetic,1,metro de las de las 8 monto:bajo
hosting web mensual,45000,servicios,False,synthetic,1,hosting web mensual monto:medio
ropa en el éxito,150000,alimentacion,False,synthetic,1,ropa en el éxito monto:alto
cuota crédito davivienda,600000,servicios,False,synthetic,1,cuota crédito davivienda monto:alto
pandebono viernes,3442,alimentacion,True,synthetic,1,pandebono viernes monto:bajo
indriver al el gym,11830,alimentacion,True,synthetic,1,indriver al el gym monto:bajo
suplementos proteína,177612,alimentacion,False,synthetic,1,suplementos proteína monto:alto
venta computador,100000,ingreso_trabajo,False,synthetic,1,venta computador monto:medio
youtube premium septiembre,14900,tecnologia,False,synthetic,1,youtube premium septiembre monto:bajo
pandebono viernes,4882,alimentacion,True,synthetic,1,pandebono viernes monto:bajo
subsidio gobierno junio,300000,ingreso_trabajo,False,synthetic,1,subsidio gobierno junio monto:alto
pescado fresco,38000,alimentacion,False,synthetic,1,pescado fresco monto:medio
cafe en el carrito,9273,alimentacion,True,synthetic,1,cafe en el carrito monto:bajo
toallas baño,58430,alimentacion,False,synthetic,1,toallas baño monto:medio
arroz en bulto,85000,alimentacion,False,synthetic,1,arroz en bulto monto:medio
uber desde la casa,26177,alimentacion,True,synthetic,1,uber desde la casa monto:bajo
propina domicilio,2422,alimentacion,True,synthetic,1,propina domicilio monto:bajo
microsoft 365 julio,42900,tecnologia,False,synthetic,1,microsoft 365 julio monto:medio
carne de res kilos,53754,alimentacion,False,synthetic,1,carne de res kilos monto:medio
seguro vida octubre,120000,servicios,False,synthetic,1,seguro vida octubre monto:medio
xbox game pass diciembre,19900,tecnologia,False,synthetic,1,xbox game pass diciembre monto:bajo
ingreso plataforma digital febrero,500000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital febrero monto:alto
spotify con anuncios noviembre,17900,tecnologia,True,synthetic,1,spotify con anuncios noviembre monto:bajo
subsidio gobierno septiembre,200000,ingreso_trabajo,False,synthetic,1,subsidio gobierno septiembre monto:alto
tiquete latam bogota cali,145543,alimentacion,False,synthetic,1,tiquete latam bogota cali monto:medio
tenis nike de hoy,421599,alimentacion,False,synthetic,1,tenis nike de hoy monto:alto
mecato noche,4585,alimentacion,True,synthetic,1,mecato noche monto:bajo
recibo acueducto diciembre,46604,servicios,False,synthetic,1,recibo acueducto diciembre monto:medio
microsoft 365 mayo,35000,tecnologia,False,synthetic,1,microsoft 365 mayo monto:medio
desayuno semana,12975,alimentacion,True,synthetic,1,desayuno semana monto:bajo
cena lunes,24269,alimentacion,True,synthetic,1,cena lunes monto:bajo
suscripcion app diciembre,35000,tecnologia,True,synthetic,1,suscripcion app diciembre monto:medio
arriendo mensual apartaestudio,750000,servicios,False,synthetic,1,arriendo mensual apartaestudio monto:alto
libros de texto,85000,alimentacion,False,synthetic,1,libros de texto monto:medio
raspa y gana,5296,alimentacion,True,synthetic,1,raspa y gana monto:bajo
apple tv plus,17900,tecnologia,False,synthetic,1,apple tv plus monto:bajo
aporte pensión independiente,295000,servicios,False,synthetic,1,aporte pensión independiente monto:alto
recibo acueducto abril,71465,servicios,False,synthetic,1,recibo acueducto abril monto:medio
netflix básico mayo,17900,tecnologia,False,synthetic,1,netflix básico mayo monto:bajo
plataforma estudio octubre,65000,tecnologia,False,synthetic,1,plataforma estudio octubre monto:medio
tragos semana,97571,alimentacion,True,synthetic,1,tragos semana monto:medio
chance semana,6582,alimentacion,True,synthetic,1,chance semana monto:bajo
ajiaco en el restaurante,25000,alimentacion,True,synthetic,1,ajiaco en el restaurante monto:bajo
mercado pago,0,tecnologia,False,synthetic,1,mercado pago monto:bajo
parqueadero la cafetería,9333,alimentacion,True,synthetic,1,parqueadero la cafetería monto:bajo
recibo acueducto febrero,52283,servicios,False,synthetic,1,recibo acueducto febrero monto:medio
nevera nueva,2200000,alimentacion,False,synthetic,1,nevera nueva monto:alto
lotería sábado,3735,alimentacion,True,synthetic,1,lotería sábado monto:bajo
